case_id,match_1,match_2,match_3,match_4,match_5
PMC8184239_01,1,0,1,0,1
PMC5228701_01,1,1,0,0,0
PMC5457932_01,1,0,0,0,1
PMC4247007_01,1,0,0,1,0
PMC3364100_01,1,0,0,1,1
PMC3083533_01,1,1,1,1,1
PMC10416791_01,1,0,0,0,1
PMC8602088_01,1,1,1,1,1
PMC4996609_01,1,0,0,0,0
PMC7476697_01,0,1,1,0,0
PMC5841933_01,1,0,0,0,0
PMC8677941_01,1,1,1,1,0
PMC8565704_01,0,1,0,0,0
PMC3292829_01,1,0,1,1,1
PMC8112237_01,1,1,1,1,0
PMC6352649_01,0,0,0,0,0
PMC8371243_01,0,0,0,0,0
PMC3921830_01,0,1,0,0,1
PMC527873_01,1,1,1,1,1
PMC4193294_01,0,0,0,0,1
PMC6642620_01,1,1,0,0,1
PMC3884005_01,0,1,0,0,0
PMC5319202_02,1,1,0,1,0
PMC9133757_01,1,0,0,0,0
PMC4247299_01,0,0,0,0,0
PMC7146309_01,1,1,1,1,0
PMC4531591_01,1,0,0,1,1
PMC5778720_01,1,1,0,0,0
PMC6612022_01,1,1,1,1,1
PMC3354360_01,1,0,0,1,0
PMC8813629_01,0,0,0,0,0
PMC8821965_01,1,1,0,1,0
PMC8523104_01,0,0,0,0,0
PMC7506053_01,1,1,0,1,0
PMC10076618_01,1,0,1,1,0
PMC8769395_01,0,0,0,0,0
PMC5369260_01,1,0,0,1,1
PMC7490430_01,1,0,0,0,0
PMC4821153_01,1,0,0,0,1
PMC6434167_01,0,0,0,0,0
PMC5312201_01,0,0,0,0,1
PMC3658259_01,1,0,0,0,0
PMC7390793_01,1,0,1,0,0
PMC3997242_01,0,0,0,0,0
PMC6297057_01,0,0,0,0,0
PMC5985260_01,0,0,0,0,0
PMC3361206_01,0,1,1,0,0
PMC5771368_02,0,0,0,1,0
PMC4729429_01,0,0,0,0,0
PMC8291962_01,1,0,0,1,1
PMC5999014_01,0,0,1,0,0
PMC2647180_01,0,1,0,0,0
PMC7193213_01,1,0,1,0,1
PMC3934809_01,1,0,1,0,1
PMC4531605_01,1,1,1,0,1
PMC4643465_01,1,1,0,0,0
PMC2267201_01,1,0,0,0,0
PMC7115113_01,0,1,1,0,0
PMC7115113_02,1,1,0,0,1
PMC7672248_01,0,0,0,0,0
PMC4430206_01,1,0,1,0,0
PMC10204752_01,1,0,1,0,0
PMC7399447_01,0,0,1,0,0
PMC3361768_01,0,0,1,0,0
PMC7708872_01,1,1,0,1,1
PMC4448748_01,0,1,0,0,0
PMC8349044_01,0,1,1,0,0
PMC4898009_01,0,0,0,0,1
PMC4802134_01,1,0,0,0,0
PMC2821394_01,0,1,0,0,0
PMC7489156_01,1,1,0,0,1
PMC7184838_01,0,0,0,0,0
PMC8415166_01,1,1,1,1,0
PMC7260585_01,0,1,0,1,0
PMC8247731_01,1,1,1,1,1
PMC7869746_01,1,1,1,1,0
PMC3891084_01,1,0,0,0,0
PMC8565681_01,0,0,0,0,0
PMC2654436_01,1,1,0,0,0
PMC5496329_01,0,0,1,0,0
PMC8565682_01,0,0,0,0,0
PMC6739717_01,0,0,0,0,0
PMC6503770_01,1,0,0,0,0
PMC10249131_01,1,0,1,0,1
PMC6514520_01,0,0,0,1,0
PMC4583243_02,1,0,0,0,1
PMC3779405_02,0,0,0,0,1
PMC3934770_01,1,1,0,1,1
PMC7527672_01,1,1,1,0,0
PMC6969321_01,0,0,0,0,0
PMC6969321_02,1,0,0,0,0
PMC9079230_01,1,1,1,1,1
PMC5682695_01,0,0,0,0,0
PMC4822807_01,0,0,1,0,1
PMC3548354_01,0,0,0,0,0
PMC3616025_01,1,0,0,0,1
PMC5779791_01,1,1,1,0,1
PMC7490444_01,0,0,0,0,0
PMC3634208_01,1,0,0,0,0
PMC3884191_01,1,0,1,1,0
PMC4532018_01,0,0,0,0,0
PMC4462460_01,0,0,0,1,0
PMC5577410_01,0,1,0,1,0
PMC6246109_01,0,0,0,0,0
PMC7841290_01,0,0,1,0,0
PMC6610690_01,0,0,0,0,0
PMC9058064_01,1,1,1,0,1
PMC4927557_01,1,1,1,1,1
PMC5040824_01,1,1,0,0,0
PMC4573862_01,0,0,0,0,0
PMC8035581_01,1,0,0,0,0
PMC7416577_01,1,1,1,0,1
PMC6041115_01,0,0,0,0,0
PMC3015794_01,0,0,0,1,1
PMC5410487_01,1,1,0,0,0
PMC6394359_01,0,0,0,1,1
PMC8258638_01,1,0,0,0,0
PMC9030344_01,0,0,0,0,0
PMC5824527_01,1,1,1,1,1
PMC8716851_01,1,1,1,1,1
PMC7757942_01,1,1,1,1,1
PMC7193198_01,0,1,0,0,0
PMC8641627_01,0,1,0,0,0
PMC7517663_01,0,0,0,0,0
PMC3561114_01,1,0,0,1,1
PMC3661435_01,1,0,0,0,0
PMC3304179_01,0,0,1,1,0
PMC6007999_01,1,0,0,0,1
PMC9063025_01,0,0,1,0,0
PMC2640346_01,1,1,1,0,1
PMC3995393_01,0,0,0,0,0
PMC5312184_02,1,1,0,1,1
PMC10408608_01,1,0,0,0,0
PMC6432829_01,1,0,1,1,0
PMC7452466_01,0,0,0,0,0
PMC8249766_01,1,0,1,0,1
